Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Diode,Diode_DO-35,30.604,-55.657,0.0,bottom
D10,Diode,Diode_DO-35,68.784,-55.697,0.0,bottom
D11,Diode,Diode_DO-35,73.174,-112.707,0.0,bottom
D12,Diode,Diode_DO-35,78.514,-74.747,0.0,bottom
D13,Diode,Diode_DO-35,82.864,-131.927,180.0,bottom
D14,Diode,Diode_DO-35,83.394,-93.667,0.0,bottom
D15,Diode,Diode_DO-35,86.754,-55.717,0.0,bottom
D16,Diode,Diode_DO-35,91.544,-112.687,0.0,bottom
D17,Diode,Diode_DO-35,97.334,-74.747,0.0,bottom
D18,Diode,Diode_DO-35,102.374,-93.707,0.0,bottom
D19,Diode,Diode_DO-35,106.214,-55.637,0.0,bottom
D2,Diode,Diode_DO-35,35.364,-74.857,0.0,bottom
D20,Diode,Diode_DO-35,111.364,-151.917,0.0,bottom
D21,Diode,Diode_DO-35,102.264,-132.217,0.0,bottom
D22,Diode,Diode_DO-35,111.544,-112.707,0.0,bottom
D23,Diode,Diode_DO-35,116.314,-74.667,0.0,bottom
D24,Diode,Diode_DO-35,121.514,-93.677,0.0,bottom
D25,Diode,Diode_DO-35,124.544,-55.637,0.0,bottom
D26,Diode,Diode_DO-35,130.974,-132.077,0.0,bottom
D27,Diode,Diode_DO-35,130.614,-112.687,0.0,bottom
D28,Diode,Diode_DO-35,135.954,-74.697,0.0,bottom
D29,Diode,Diode_DO-35,132.634,-151.217,0.0,bottom
D3,Diode,Diode_DO-35,37.844,-93.687,0.0,bottom
D30,Diode,Diode_DO-35,140.534,-93.657,0.0,bottom
D31,Diode,Diode_DO-35,137.414,-55.667,0.0,bottom
D32,Diode,Diode_DO-35,149.524,-112.757,0.0,bottom
D33,Diode,Diode_DO-35,162.534,-132.467,0.0,bottom
D34,Diode,Diode_DO-35,168.384,-112.707,0.0,bottom
D35,Diode,Diode_DO-35,174.51041,-136.24341,30.0,bottom
D4,Diode,Diode_DO-35,43.734,-130.837,0.0,bottom
D5,Diode,Diode_DO-35,42.474,-112.847,0.0,bottom
D6,Diode,Diode_DO-35,49.694,-55.677,0.0,bottom
D7,Diode,Diode_DO-35,67.404,-126.187,90.0,bottom
D8,Diode,Diode_DO-35,58.824,-74.647,0.0,bottom
D9,Diode,Diode_DO-35,64.154,-93.667,0.0,bottom
LED1,LED_SK6812MINI,LED_SK6812MINI,30.704,-42.078,0.0,bottom
LED10,LED_SK6812MINI,LED_SK6812MINI,68.784,-42.078,0.0,bottom
LED11,LED_SK6812MINI,LED_SK6812MINI,73.549,-99.218,180.0,bottom
LED12,LED_SK6812MINI,LED_SK6812MINI,78.304,-61.118,180.0,bottom
LED13,LED_SK6812MINI,LED_SK6812MINI,80.68525,-118.248,0.0,bottom
LED14,LED_SK6812MINI,LED_SK6812MINI,83.064,-80.158,0.0,bottom
LED15,LED_SK6812MINI,LED_SK6812MINI,87.824,-42.078,0.0,bottom
LED16,LED_SK6812MINI,LED_SK6812MINI,92.589,-99.218,180.0,bottom
LED17,LED_SK6812MINI,LED_SK6812MINI,97.344,-61.118,180.0,bottom
LED18,LED_SK6812MINI,LED_SK6812MINI,102.104,-80.158,0.0,bottom
LED19,LED_SK6812MINI,LED_SK6812MINI,106.864,-42.078,0.0,bottom
LED2,LED_SK6812MINI,LED_SK6812MINI,35.464,-61.118,180.0,bottom
LED20,LED_SK6812MINI,LED_SK6812MINI,115.949,-136.263,180.0,bottom
LED21,LED_SK6812MINI,LED_SK6812MINI,104.48525,-118.248,0.0,bottom
LED22,LED_SK6812MINI,LED_SK6812MINI,111.629,-99.218,180.0,bottom
LED23,LED_SK6812MINI,LED_SK6812MINI,116.384,-61.118,180.0,bottom
LED24,LED_SK6812MINI,LED_SK6812MINI,121.144,-80.158,0.0,bottom
LED25,LED_SK6812MINI,LED_SK6812MINI,125.904,-42.078,0.0,bottom
LED26,LED_SK6812MINI,LED_SK6812MINI,133.04525,-118.248,0.0,bottom
LED27,LED_SK6812MINI,LED_SK6812MINI,130.669,-99.218,180.0,bottom
LED28,LED_SK6812MINI,LED_SK6812MINI,135.424,-61.118,180.0,bottom
LED29,LED_SK6812MINI,LED_SK6812MINI,140.699,-136.263,180.0,bottom
LED3,LED_SK6812MINI,LED_SK6812MINI,37.84775,-80.168,0.0,bottom
LED30,LED_SK6812MINI,LED_SK6812MINI,140.184,-80.158,0.0,bottom
LED31,LED_SK6812MINI,LED_SK6812MINI,144.944,-42.078,0.0,bottom
LED32,LED_SK6812MINI,LED_SK6812MINI,149.709,-99.218,180.0,bottom
LED33,LED_SK6812MINI,LED_SK6812MINI,159.224,-118.248,0.0,bottom
LED34,LED_SK6812MINI,LED_SK6812MINI,168.749,-99.218,180.0,bottom
LED35,LED_SK6812MINI,LED_SK6812MINI,187.2555,-125.347701,30.0,bottom
LED4,LED_SK6812MINI,LED_SK6812MINI,33.08525,-118.248,0.0,bottom
LED5,LED_SK6812MINI,LED_SK6812MINI,42.61025,-99.218,180.0,bottom
LED6,LED_SK6812MINI,LED_SK6812MINI,49.744,-42.078,0.0,bottom
LED7,LED_SK6812MINI,LED_SK6812MINI,56.88525,-118.248,0.0,bottom
LED8,LED_SK6812MINI,LED_SK6812MINI,59.264,-61.118,180.0,bottom
LED9,LED_SK6812MINI,LED_SK6812MINI,64.024,-80.158,0.0,bottom
SW1,BOOT button,Button_TL3342,95.004,-144.517,180.0,bottom
